obj1;obj2;Aspects obj1;Aspects obj2;Overlap;#Overlaps;CAM aspects obj1;CAM aspects obj2;OverlapCAM1;#OverlapsCAM1;OverlapCAM2;#OverlapsCAM2
python;java;Monty Python,Guido van Rossum,Python Software Foundation,object-oriented programming language,dynamic programming language,functional programming language,scripting language,multi-paradigm programming language,imperative programming language,interpreted language,general-purpose programming language,high-level programming language,programming language,off-side rule language,Category:Python (programming language),free software movement,ALGOL 68,ABC,Modula-3,C,C++,Perl,Java,Lisp,Haskell,cross-platform,History of Python,Cython,Stackless Python,Template:Python (programming language),functional programming,reflection,object-oriented programming,dynamic programming,imperative programming,multi-paradigm programming,CPython,Python Software Foundation License,web development,software development,computational science,machine learning,data analysis,Core Python Programming,Python,;multi-paradigm programming language,programming language,Sun Microsystems,Oracle Corporation,GNU General Public License,Java coffee,James Gosling,Category:Java (programming language),Duke,C++,C,Ada,Simula 67,Smalltalk,Java platform,structured programming,object-oriented programming,functional programming,generic programming,imperative programming,concurrent computing,class-based programming,concurrent object-oriented programming,reflective programming,;multi-paradigm programming language,programming language,C,C++,functional programming,object-oriented programming,imperative programming,;7;programmers,web,typing,things,syntax,features,strong,oo,people,cross,;performance,speed,languages,version,c,ruby,code,scala,javascript,haskell,;web,cross,;2;;0
php;javascript;cross-platform,Rasmus Lerdorf,Andi Gutmans,PHP Group,Zend Technologies,Zeev Suraski,PHP License,scripting language,procedural programming language,object-oriented programming language,multi-paradigm programming language,imperative programming language,interpreted language,translator,Category:PHP,Perl,C,C++,Java,Tool Command Language,Hack,Falcon,ElePHPant,continuous integration,PHP script,imperative programming,;scripting language,computing platform,interpreted language,multi-paradigm programming language,prototype-based programming language,imperative programming language,functional programming language,event-driven programming language,Scheme,Self,Java,C,LiveScript,Brendan Eich,Category:JavaScript,Sun Microsystems,Oracle Corporation,ECMAScript,Template:JavaScript,web development,functional programming,;scripting language,multi-paradigm programming language,imperative programming language,interpreted language,C,Java,;6;web,html,netbeans,css,japplis,website,optimizer,side,version,pearl,;browser,ruby,sdk,button,images,uses,feeds,blogger,living,difference,;;0;;0
perl;python;programming language,procedural programming language,object-oriented programming language,multi-paradigm programming language,imperative programming language,interpreted language,Category:Perl,Larry Wall,The Perl Foundation,Perl Camel,C++,C,sed,AWK,Artistic License,GPL-1.0+,outline of Perl,Linux,macOS,Microsoft Windows,Solaris,IBM AIX,HP-UX,;Monty Python,Guido van Rossum,Python Software Foundation,object-oriented programming language,dynamic programming language,functional programming language,scripting language,multi-paradigm programming language,imperative programming language,interpreted language,general-purpose programming language,high-level programming language,programming language,off-side rule language,Category:Python (programming language),free software movement,ALGOL 68,ABC,Modula-3,C,C++,Perl,Java,Lisp,Haskell,cross-platform,History of Python,Cython,Stackless Python,Template:Python (programming language),functional programming,reflection,object-oriented programming,dynamic programming,imperative programming,multi-paradigm programming,CPython,Python Software Foundation License,web development,software development,computational science,machine learning,data analysis,Core Python Programming,Python,;programming language,object-oriented programming language,multi-paradigm programming language,imperative programming language,interpreted language,C++,C,;7;version,cases,performance,use,matter,position,mind,memory,programs,list,;code,people,languages,java,language,ruby,way,anything,function,module,;;0;language,;1
ios;android;Apple Inc.,mobile operating system,NeXTSTEP,Category:iOS (Apple),C,C++,Objective-C,Swift,proprietary software,Cocoa Touch,iPhone,iPod Touch,iPad,Apple TV,HomePod,Apple Software Update,iTunes,over-the-air programming,App Store,outline of iOS,French,English,Mandarin Chinese,Spanish,Japanese,Korean,Italian,Portuguese,Russian,German,Danish,Swedish,Arabic,Thai,Finnish,Polish,Vietnamese,Norwegian,Indonesian,Greek,Hebrew,Romanian,Hungarian,Catalan,Czech,Hindi,Malay,Ukrainian,Croatian,Slovak,Unix,;Open Handset Alliance,Google,Linux kernel,Unix-like operating system,mobile operating system,Category:Android (operating system),Apache-2.0,GPLv2,Apache License,User space,GNU General Public License,patch,Android Open Source Project,Bionic,Dalvik,Android Runtime,smartphone,tablet computer,ARM architecture,MIPS,x86,3GPP file format,MPEG-4 Part 14,Audio Data Transport Stream,MPEG-2 transport stream,Free Lossless Audio Codec,MP3,Standard MIDI File,Ogg,Matroska,Waveform Audio File Format,JPEG File Interchange Format,Graphics Interchange Format,Portable Network Graphics,Windows Bitmap,WebP Lossless,WebM,Joint Photographic Experts Group,multiple languages,English,Java,C,C++,Kotlin,XML Schema,Andy Rubin,Rich Miner,APK,Google Play,F-Droid,Yandex.Store,Samsung Apps,Portal:Android,;mobile operating system,C,C++,English,;4;html5,points,webos,rim,change,situation,selection,weeks,percentage,plenty,;ways,apple,tablets,google,version,iphone,way,phones,phone,platform,;;0;;0
cuda;opencl;programming language,NVIDIA,Microsoft Windows,Linux,;software framework,programming language,Apple Inc.,Khronos Group,Microsoft Windows,macOS,Linux,FreeBSD,x86-64,IA-32,ARM architecture,imperative programming,C,C++,;programming language,Microsoft Windows,Linux,;3;gpu,secs,gtx460,nvidia,time,performance,support,bit,version,card,;amd,tesla,rofl,anything,launch,program,imo,virtue,compatibility,architecture,;;0;architecture,;1
bluetooth;ethernet;personal area network,de facto standard,Category:Bluetooth,Harald Bluetooth,communications protocol,wireless network,Apple Pencil,;luminiferous aether,Category:Ethernet,de facto standard,Wi-Fi,technology,;de facto standard,;1;navigation,support,way,cluster,enter,key,usb,experience,audio,gateway,;;;0;;0
bmw;toyota;Munich,automobile manufacturer,Frankfurt Stock Exchange,Franz Josef Popp,Category:BMW,Norbert Reithofer,automotive industry,DAX,Euro Stoxx 50,Aktiengesellschaft,Germany,Rolls-Royce Motor Cars,BMW facility Dingolfing,Rolls-Royce Deutschland,automobile,Stefan Quandt,Harald Krüger,Mini (marque),;automobile manufacturer,business enterprise,automobile marque,Akio Toyoda,Kiichiro Toyoda,Toyota,Tokyo Stock Exchange,London Stock Exchange,New York Stock Exchange,Lexus,Hino Motors,Daihatsu,Toyota Motor North America,Toyota Financial Services,Toyota Kirloskar Motor Private Limited,Toyota Canada Inc.,Toyota Motor Sales, U.S.A., Inc.,Toyota Motor Europe,Toyota Australia,Toyota UK,Toyota Auto Body,Toyota Housing,Toyota Motor Kyushu,Toyota Motor East Japan,Toyota Motor Engineering & Manufacturing North America,Toyota Motor Manufacturing Kentucky,Toyota Motor Manufacturing Indiana,Toyota Motor Manufacturing Texas,Toyota Motor Manufacturing Mississippi,Toyota Motor Manufacturing West Virginia,Toyota Motor Manufacturing Canada,Toyota Motor Manufacturing France,Toyota Manufacturing UK,Kuozui Motors,Toyota Motor Thailand,Category:Toyota,Japan,kabushiki gaisha,automotive industry,Toyota Industries,Nippon Life Insurance Company,Denso,Aisin Seiki,Toyota Tsusho,Toyoda Gosei,KDDI,Tokai Rika,Aisan Industry,Seiren,car,;automobile manufacturer,automotive industry,;2;engine,prius,drivetrain,due,torque,job,wheels,power,time,space,;cars,seat,passengers,way,mercedes,lexus,quality,camry,drivers,head,;;0;;0
apple;microsoft;Portal:Apple Inc.,Steve Wozniak,Steve Jobs,Ronald Wayne,Cupertino,United States of America,FileMaker, Inc.,Anobit,Beats Electronics,Braeburn Capital,AuthenTec,FingerWorks,Prismo Graphics,Raycer,SchemaSoft,Apple (Germany),Apple (Israel),Claris,Apple Store,NASDAQ,Tokyo Stock Exchange,Category:Apple Inc.,Arthur D. Levinson,computer hardware,software industry,consumer electronics,digital distribution,electronics,information technology,Gil Amelio,John Sculley,Tim Cook,Michael Scott,Michael Spindler,Mike Markkula,Lentapedia,joint-stock company,public company,Apple TV,Apple Watch,iPad,iPhone,iPod,iMac,MacBook,Mac Pro,Mac Mini,networking hardware,AirPods,HomePod,iPod Touch,iPhone 3G,iPhone 3GS,iPhone 4,iPhone 4s,iPhone 5,iPhone 5c,iPhone 5s,iPhone 6,iPhone 6 Plus,iPhone 6s Plus,iPhone 7 Plus,iPad Pro,MacBook Pro,Apple Pencil,iPhone 6s,iPhone 7,Apple Pay,iPhone X,personal computer,tablet computer,media player,software,Imagination Technologies,Fred D. Anderson,Larry Ellison,Delano Lewis,Arthur Rock,Eric Schmidt,Edgar S. Woolard, Jr.,Jerry York,Andrea Jung,Ronald Sugar,James A. Bell,Al Gore,Bob Iger,Susan Wagner,Katherine L. Adams,Bruce Sewell,Think Different,business enterprise,The Vanguard Group,BlackRock,outline of Apple Inc.,NASDAQ-100,Dow Jones Industrial Average,Alliance for Open Media,;Portal:Microsoft,Bill Gates,Paul Allen,United States of America,software house,business enterprise,Redmond,NASDAQ,Hong Kong Stock Exchange,Steve Ballmer,Satya Nadella,Category:Microsoft,Mojang,Microsoft Studios,Skype Technologies,Avanade,Microsoft Algeria,Microsoft Japan,Microsoft India,Microsoft India R & D,Lionhead Studios,Microsoft Mobile,Microsoft Production Studios,Rare Ltd.,Ensemble Studios,Microsoft Store,ProClarity,Danger, Inc.,Perceptive Pixel,GreenButton,Microsoft Research Asia,Sysinternals,Massive Incorporated,Sucker Punch Productions,Jellyfish.com,Powerset,Tellme Networks,Visio Corporation,AQuantive,Turn 10 Studios,Fast Search & Transfer,Digital Anvil,Razorfish,DATAllegro,Microsoft Kids,Microsoft Egypt,Microsoft (Israel),Microsoft (United Kingdom),Microsoft (Netherlands),Microsoft,Lentapedia (full versions),Lentapedia,BlackRock,The Vanguard Group,Capital Group Companies,State Street Corporation,technology industry,software industry,software development,Microsoft Windows,Microsoft Office,Microsoft Servers,Skype,Microsoft Azure,Microsoft Dynamics,Microsoft Visual Studio,Xbox,Microsoft Surface,Bing,computer hardware,list of Microsoft software applications,corporation,public company,Microsoft Research,history of Microsoft,Albuquerque,Alliance for Open Media,NASDAQ-100,Dow Jones Industrial Average,Big Brother Awards,;United States of America,NASDAQ,computer hardware,software industry,Lentapedia,public company,business enterprise,The Vanguard Group,BlackRock,NASDAQ-100,Dow Jones Industrial Average,Alliance for Open Media,;12;msft,fans,tech,flash,dominance,growth,nothing,ios,nintendo,question,;surface,zune,phones,windows,competition,control,support,google,devices,terms,;;0;;0
gamecube;ps2;Nintendo,Nintendo 64,Wii,sixth generation of video game consoles,video game console,Category:GameCube,;Sony Interactive Entertainment,PlayStation 3,PlayStation,home video game console,Category:PlayStation 2,Emotion Engine,sixth generation of video game consoles,model,;sixth generation of video game consoles,;1;nintendo,graphics,developers,dreamcast,program,release,times,x,anything,something,;est,sat,power,xbox,way,versions,time,point,piece,reason,;;0;;0
milk;beer;Gus Van Sant,film,Sean Penn,Emile Hirsch,Josh Brolin,Diego Luna,James Franco,Alison Pill,Victor Garber,Denis O'Hare,Joseph Cross,Stephen Spinella,Lucas Grabeel,Brandon Boyce,Douglas Smith,Eric Stoltz,Frank Robinson,Jeff Koons,Steven Wiig,Kelvin Yu,Dave Franco,Boyd Holbrook,Dustin Lance Black,Brent Corrigan,Jimmy Carter,Scott Patrick Green,Howard Rosenman,English,Bruce Cohen,Dan Jinks,Focus Features,Harris Savides,New York City,San Francisco,biographical film,drama film,LGBT-related film,United States of America,Academy Award for Best Picture,Academy Award for Best Supporting Actor,Academy Award for Best Actor,Academy Award for Best Director,Academy Award for Best Film Editing,Academy Award for Best Writing, Original Screenplay,Academy Award for Best Costume Design,Academy Award for Best Original Score,Danny Elfman,Elliot Graham,Bill Groom,Category III,Budapest Film,FSK 12,1.85:1,Danny Glicker,free from 10 years,color,fails the Bechdel Test,;film,English,Loretta Swit,Rip Torn,Kenneth Mars,David Alan Grier,William Russ,David Wohl,Amy Wright,Dick Shawn,Ren Woods,Robert Chartoff,Orion Pictures,Bill Butler,United States of America,Toronto,Patrick Altham Kelly,comedy film,Bill Conti,Alan Heim,Allan Weisbecker,color,FSK 12,;film,English,United States of America,FSK 12,color,;5;cows,bottle,smooth,cookies,cubbyswans,left,hand,nitro,young,idea,;water,stout,juice,chocolate,process,capita,consumption,taste,body,peta,;;0;;0
